default,student,balance,income
No,Yes,706.16103,18078.352
Yes,Yes,1774.69422,20359.506
No,No,916.49932,25768.407
No,No,1271.27081,36053.503
No,No,110.57291,47339.109
No,No,1747.25888,37819.289
Yes,No,1889.59919,48956.172
No,No,27.20139,21051.840
No,No,746.22978,35159.850
Yes,Yes,1899.39063,20655.200
No,Yes,813.99457,20391.529
No,No,499.45782,38899.160
No,No,853.16133,36272.452
No,No,474.72732,32064.335
No,No,1235.87611,35838.777
No,No,620.67515,44213.770
No,No,220.02857,37880.030
No,Yes,1304.91430,18074.075
No,Yes,1608.15256,22358.047
No,No,256.47123,37657.056
No,Yes,1153.60500,19224.975
No,No,771.89587,31170.085
No,Yes,1099.63042,17064.043
No,No,782.88303,40357.133
No,No,444.26491,35924.339
No,No,504.02838,24780.961
No,No,1762.50340,42124.660
No,Yes,850.09612,18618.988
No,No,1412.23872,40785.060
No,No,715.49683,47482.565
No,No,1363.52860,55713.042
No,No,493.24189,42495.203
No,No,1354.75254,33375.132
No,Yes,571.29391,15416.269
No,No,956.15135,44086.708
No,No,964.82025,34390.746
No,No,552.63437,50513.164
No,No,338.26620,37767.240
No,No,709.12335,44041.630
No,No,978.97820,57839.054
No,No,371.01013,15702.707
Yes,Yes,1572.85648,14930.178
No,No,0.00000,40150.218
Yes,No,1964.47687,39054.589
No,No,548.03778,33605.649
No,No,1257.05522,34045.009
No,No,1189.91806,38016.894
No,No,687.68376,39373.580
No,No,845.69897,39899.513
No,Yes,957.68483,19676.346
No,No,233.51685,43326.105
No,Yes,1126.94874,14298.265
No,Yes,488.85518,15159.495
No,No,767.90356,44323.580
No,No,561.92580,31388.506
No,Yes,1092.27001,17454.602
No,No,71.78868,31965.745
No,Yes,1839.14368,13625.398
No,Yes,876.00078,22474.574
No,No,554.10781,30357.026
No,No,891.31790,43945.042
No,No,464.83633,27324.900
No,Yes,563.54266,24082.039
Yes,No,1530.35316,30003.817
No,No,990.56703,41690.253
No,No,590.39979,42769.204
No,Yes,715.16411,21153.511
No,No,1540.37773,41852.078
No,No,1243.32652,41639.680
No,Yes,235.32850,20909.705
No,No,528.25432,49394.341
No,No,592.25390,30731.202
No,No,705.20497,42683.187
No,No,456.51564,48195.776
No,Yes,470.71757,18052.105
No,Yes,1503.07513,10600.414
No,No,1362.96560,44217.916
No,No,908.77157,45032.846
No,Yes,1096.82027,16148.060
No,No,369.22194,47835.091
No,No,673.39990,50256.290
No,No,1038.50001,51173.141
No,No,0.00000,28762.924
No,No,527.19409,32431.118
No,No,817.46934,32974.427
No,Yes,1549.04275,19702.293
No,Yes,566.71379,11853.953
No,No,1496.05646,24935.919
No,No,862.65666,42844.834
No,No,1259.14942,31263.641
No,No,1025.03883,43510.050
No,Yes,703.27779,14793.743
No,Yes,1082.39150,15175.361
No,No,910.44902,44054.916
No,Yes,996.54386,16995.660
No,No,353.77823,58514.318
No,Yes,782.71083,13300.297
No,No,1716.59542,51056.868
No,Yes,502.89864,15153.966
No,No,1033.46847,59203.968
No,No,0.00000,34925.365
No,Yes,1087.08350,19263.770
No,No,1047.24425,43899.759
No,No,1056.92735,38367.868
No,Yes,979.22442,26010.888
No,Yes,847.81871,15978.634
No,No,781.77128,50958.791
No,Yes,402.48889,15904.056
No,No,204.74018,17534.291
No,Yes,2022.67464,18336.743
No,No,748.93706,44186.618
No,No,838.27569,35917.491
No,No,386.01605,44694.031
No,No,812.39930,49623.101
No,Yes,1809.92656,6985.136
No,No,0.00000,30360.549
No,Yes,1328.18380,24688.474
No,Yes,1464.93605,26716.686
No,No,1200.56514,39718.693
No,No,989.68642,27856.577
No,No,870.73458,35539.270
No,Yes,1200.84739,19849.831
No,Yes,1428.83205,23204.681
No,No,0.00000,33951.289
No,Yes,359.45887,21783.269
No,No,265.68395,40862.754
No,No,1027.77053,44406.837
No,No,729.04743,35042.133
No,No,1042.80492,25867.148
No,No,230.23059,37875.615
No,No,367.46601,30611.272
No,Yes,737.70535,20863.800
No,No,18.26129,30349.460
No,No,1257.76021,30834.771
No,No,455.52151,40907.398
No,No,56.96756,35458.482
No,Yes,723.93199,12213.037
No,No,612.38316,41379.768
No,Yes,1220.17761,15308.127
No,No,1222.34769,32363.371
No,No,1165.49114,47684.219
Yes,No,1642.82000,46856.947
No,No,944.17356,56088.684
No,No,749.60800,41423.941
No,No,370.37519,31231.008
Yes,No,1991.64912,42133.373
No,No,773.91523,44562.338
No,Yes,817.24981,20480.887
No,No,1060.71622,50260.464
Yes,No,1550.44926,56273.514
No,Yes,454.46696,15092.439
No,Yes,1256.23933,17784.559
No,No,1484.39539,36731.309
No,Yes,1050.47733,12661.612
No,No,986.40062,45430.472
No,No,717.34193,44266.377
No,No,692.14322,47038.090
Yes,No,1328.89273,34710.062
No,No,673.46819,32930.069
No,No,218.63930,48991.395
No,No,1218.16697,43954.277
No,Yes,13.51680,19322.545
No,Yes,531.47870,21726.559
No,No,165.53815,33436.456
No,Yes,1351.84972,25890.504
No,No,107.28208,54143.963
No,No,947.19357,35604.117
No,Yes,434.56026,14812.645
No,No,1020.06724,37458.879
No,No,662.30532,31597.898
No,Yes,754.42061,20767.683
No,No,289.48958,44412.895
No,No,198.03841,36270.938
No,Yes,516.06049,16615.022
No,No,697.56381,41755.398
No,Yes,502.32478,16947.423
No,Yes,1459.68708,15575.419
No,No,716.99872,34418.260
No,Yes,1037.97271,18324.030
No,No,673.01612,29735.962
No,No,371.92178,41099.772
No,No,89.13496,55604.608
No,No,1273.28018,40895.283
No,No,600.72330,18680.517
No,No,905.03816,40711.799
No,No,1061.44156,54437.010
No,No,1672.63925,46334.788
No,Yes,883.70265,19750.094
No,No,373.78033,53936.242
No,No,1287.79519,52382.665
No,No,1229.74257,48739.927
No,Yes,510.61385,22457.052
No,No,775.63017,27205.857
No,No,1152.98289,50206.577
No,Yes,1303.66259,7986.000
No,No,1675.27885,28244.503
No,No,398.27773,30001.795
No,Yes,739.90176,25023.874
No,No,226.41770,32018.714
No,No,1217.32171,25173.620
No,No,639.82056,29902.002
No,Yes,883.16698,12717.492
No,No,2.28761,38186.524
No,No,419.63735,55967.993
No,Yes,1544.14025,11102.535
No,No,1101.01502,32153.014
Yes,No,1700.59991,30488.983
No,No,311.82459,48301.060
No,No,442.83022,55074.131
No,No,728.81496,17909.581
No,No,278.87790,37188.668
No,No,758.70233,36625.990
No,No,620.33968,22803.741
No,Yes,1890.16741,18402.465
No,No,0.00000,28951.452
No,Yes,1329.19884,23184.016
No,No,1075.86377,44128.628
No,No,618.52751,54956.991
No,No,1111.08658,27466.894
No,No,864.03974,45881.930
No,No,895.22981,48512.456
No,Yes,954.03043,21908.527
No,No,947.63493,46813.516
No,No,267.30373,23117.929
No,Yes,1366.80578,23913.209
No,No,624.73188,38325.174
No,No,13.67938,25221.638
No,No,785.86649,44778.016
No,Yes,1353.09385,18933.496
No,No,480.32126,25553.263
No,No,0.00000,29507.313
No,Yes,1221.97124,17916.856
No,Yes,1184.93652,25108.757
No,Yes,478.57206,27512.345
No,No,221.69046,34786.101
No,No,578.38762,41054.139
No,Yes,1361.45843,19576.957
No,Yes,977.84810,19731.961
No,No,1184.42524,36887.440
Yes,Yes,1118.70104,21848.443
Yes,No,1119.09724,37224.568
No,No,776.34998,31329.485
No,No,1322.29709,51792.402
No,No,878.02646,27438.585
No,No,1268.37951,16921.181
No,No,0.00000,32611.373
No,No,0.00000,37262.574
No,Yes,366.78696,25833.063
No,No,747.56104,39898.769
No,No,1787.28514,37499.094
No,Yes,1929.44698,14995.492
No,No,987.14289,27961.320
No,Yes,856.35737,20758.215
No,No,1101.14971,18153.844
No,No,704.18452,31515.982
No,No,555.62344,40837.732
No,No,1073.49826,44764.111
No,No,1126.22302,32842.652
No,Yes,649.77332,15708.296
No,No,977.65762,43743.497
No,No,1049.88996,42637.511
No,Yes,1383.56633,15764.346
No,Yes,1095.46574,14065.168
No,No,1089.37179,30224.596
No,No,605.22097,21792.322
No,No,1033.88540,49262.045
No,No,1604.72055,38186.985
No,No,826.32703,24679.715
No,Yes,1176.14682,16670.681
No,Yes,1275.02320,19937.098
No,Yes,1290.28314,23538.944
No,No,1133.47420,51414.496
No,No,837.41257,37400.493
No,Yes,379.08217,18280.367
No,Yes,1134.16628,12453.364
No,No,0.00000,39120.085
No,No,1491.17480,59394.383
No,Yes,1695.35959,9582.942
No,No,705.57333,54589.240
No,No,239.19337,33743.227
No,Yes,1183.71064,12428.615
No,No,898.76184,38267.082
No,Yes,1524.29040,11719.593
No,No,777.02374,35115.019
No,No,1394.79582,26074.934
No,Yes,0.00000,20476.156
No,No,62.57158,47946.767
Yes,No,1981.45182,28127.895
No,No,514.05403,50053.262
No,No,722.78804,53714.186
No,No,152.86630,33716.864
No,No,293.18477,35390.288
No,No,0.00000,38613.620
No,Yes,645.36686,17878.364
No,Yes,1515.15283,26046.772
No,Yes,767.43951,18846.489
No,Yes,491.87975,21715.226
No,No,0.00000,41389.435
No,No,0.00000,34589.488
No,No,509.15516,40132.659
No,Yes,965.58737,16440.100
No,Yes,1868.54007,20489.598
No,No,403.49721,41803.778
No,No,593.14363,37670.935
No,No,0.00000,44547.866
No,No,742.29002,39367.193
No,Yes,1110.10046,13013.611
No,No,771.55130,49440.401
No,No,624.33889,42492.753
No,Yes,499.95723,22884.953
No,No,1088.63752,60650.036
No,No,1556.49193,49669.669
No,Yes,797.08434,23558.683
No,No,415.99250,38215.678
No,Yes,538.23268,26833.040
No,Yes,1181.93470,21086.082
No,Yes,836.02069,9271.790
No,No,104.44322,46928.005
No,No,564.20948,53196.623
No,Yes,804.53940,25091.461
No,No,1028.95364,21218.304
No,No,748.74658,8983.857
No,No,66.63208,28735.974
No,No,452.80223,48034.238
No,Yes,798.46051,27724.066
No,Yes,1941.90293,23467.127
No,No,1446.10101,22996.432
No,No,761.06410,61580.034
No,No,1350.17273,43147.456
No,No,380.95020,36943.362
No,Yes,1602.84961,15906.467
No,No,147.61012,37588.563
No,No,0.00000,36283.080
No,Yes,733.07251,18818.167
No,Yes,1082.74798,26096.337
No,No,779.65730,40804.476
No,No,994.15871,65254.076
No,No,769.18137,50070.782
No,Yes,684.09852,4985.169
No,No,442.56330,27898.465
Yes,No,1717.07159,38408.891
No,No,0.00000,36302.528
No,No,1092.34586,44717.013
No,No,497.33495,35146.799
No,Yes,1149.68065,16907.701
Yes,No,1465.21016,58699.983
No,No,565.31760,41789.611
No,Yes,922.13789,12224.185
No,Yes,175.59938,11510.058
No,No,1024.94682,49675.560
No,No,596.88543,54091.625
No,No,750.41048,53084.907
No,Yes,790.87003,14183.970
No,No,112.32787,42386.049
No,Yes,738.39449,16093.285
No,No,1157.85556,54419.809
No,No,1213.24315,45149.516
No,No,1339.62620,41656.003
No,No,588.31243,56520.963
No,No,721.80813,56375.722
No,No,680.82072,43843.474
No,Yes,815.40657,12071.762
No,No,1042.50711,37170.109
No,Yes,663.24987,20454.617
No,Yes,1478.61855,18026.471
No,No,337.75675,33655.572
No,Yes,1273.55072,23126.636
No,No,114.17973,49562.989
No,No,0.00000,52295.601
No,Yes,1516.31769,26377.593
No,Yes,898.11467,24164.751
No,No,790.59058,48219.594
No,No,0.00000,29072.721
No,No,1273.24483,49136.474
No,No,1279.20045,36063.114
No,Yes,732.71938,14568.747
Yes,No,1763.57909,46227.075
No,Yes,1280.41845,16310.906
No,No,1529.93800,36912.897
No,Yes,345.46764,18251.495
No,No,197.98940,33723.986
Yes,Yes,1770.96944,15975.537
No,Yes,639.37194,17037.055
No,No,238.81464,23526.711
No,No,390.55584,45338.357
No,Yes,830.17151,19476.588
No,Yes,1378.87608,21613.578
No,No,242.40345,37364.423
No,No,1236.54749,36211.490
No,No,1063.77494,34914.275
No,No,126.92318,33819.143
No,No,758.46550,38018.146
No,No,908.93146,68758.878
No,No,558.51834,46297.425
No,No,1819.24233,36969.553
No,Yes,1110.68174,19327.575
No,No,723.24337,43459.012
No,No,972.03186,18510.946
No,No,696.01443,40741.420
No,Yes,1178.24891,29362.605
No,Yes,329.55851,19371.812
No,Yes,792.52924,14546.302
No,No,1246.03776,33691.721
No,No,591.76078,41670.257
No,No,244.08114,24854.250
No,No,1038.54836,49944.865
No,No,679.07459,49488.564
No,No,1061.41584,40585.222
No,Yes,1268.24069,11914.578
No,Yes,955.53369,14736.721
No,No,1115.82063,27882.809
No,Yes,601.16326,22029.194
No,No,1097.60004,52286.432
No,No,1042.78307,45982.966
No,Yes,1321.44305,8624.111
No,No,1052.39326,37637.659
No,No,687.95170,27604.079
No,Yes,566.46051,24828.266
No,No,769.41422,35071.167
No,No,955.13534,26372.986
No,No,643.40953,28660.140
No,No,0.00000,42745.302
No,No,437.63606,45384.047
No,No,1278.86564,34673.171
No,No,1639.39057,30624.776
No,No,891.64374,36470.828
No,Yes,316.45905,18813.940
No,No,622.92951,48874.556
No,No,107.27753,42287.303
No,Yes,990.54322,12398.491
No,No,0.00000,45659.996
No,No,0.00000,33119.955
No,No,591.21849,35287.825
No,Yes,928.06008,21121.845
No,No,304.59922,40785.989
No,No,235.93950,31336.510
No,Yes,1108.05352,10853.231
No,No,687.30640,24563.758
No,No,60.18604,39864.864
No,No,0.00000,34648.973
No,No,272.89326,58730.573
Yes,No,1531.71646,43930.400
No,No,949.60865,47702.574
No,No,561.91618,35080.579
No,No,468.13252,25231.346
No,Yes,993.10817,12215.947
No,No,0.00000,31314.695
No,Yes,759.47837,12710.721
No,No,1340.78721,36440.228
No,Yes,1521.46340,15210.474
No,No,133.74334,30457.016
Yes,No,780.17257,51656.874
No,No,839.91546,22884.793
No,No,913.50587,36670.854
No,No,924.88144,35712.638
No,No,1197.83150,54652.309
No,No,49.20967,30451.153
No,No,970.71610,48387.649
No,No,783.05740,54082.424
No,Yes,465.06289,20379.062
No,No,0.00000,39337.750
No,Yes,732.26427,21986.045
No,No,576.09126,37679.699
No,Yes,588.99106,16309.875
No,No,863.14072,43779.478
No,No,857.57573,49675.370
No,No,361.50173,33674.890
No,No,891.15543,36023.085
No,No,918.12221,44738.556
No,No,1335.02802,21150.856
No,No,421.40084,39873.522
No,Yes,743.63614,18883.972
No,No,773.74037,41872.495
No,No,731.39347,45251.882
No,No,964.18892,36330.395
No,Yes,350.01518,17657.173
No,No,1206.66136,37125.591
No,No,1051.94757,52888.185
No,No,454.76037,45572.172
No,No,932.66531,42758.601
No,No,535.74585,36259.464
No,No,241.80525,41186.183
No,No,1026.50671,42042.168
No,Yes,187.67989,18278.834
No,No,197.53832,58646.928
No,No,585.70809,43288.400
No,Yes,1947.02240,12147.046
No,No,829.54760,39717.538
No,No,196.93846,35488.449
No,No,591.86362,31438.776
No,No,0.00000,39742.105
No,Yes,1008.29162,11939.295
No,Yes,1052.22748,17410.752
No,No,331.68053,49756.171
No,No,913.10720,29414.652
No,Yes,561.39161,21747.263
No,No,246.95546,47692.894
No,No,578.97861,46304.717
No,No,557.80878,62352.846
No,Yes,788.25175,10418.183
No,No,1060.80743,39174.056
No,Yes,1247.90703,19816.720
No,No,1184.36072,34259.990
No,No,1024.57824,33071.550
No,No,1080.29166,43367.900
No,No,540.27904,26267.156
No,No,1448.83547,33835.736
No,Yes,561.19404,27421.111
No,No,1191.48031,30040.572
No,No,565.13899,38202.584
No,No,482.98220,35845.193
No,No,950.35009,37486.250
No,Yes,350.70291,21235.360
Yes,Yes,1551.02347,19027.509
No,No,981.59628,37747.913
No,No,1442.12981,10921.615
No,No,1060.33586,56607.254
No,No,1154.89079,61794.346
No,Yes,544.13977,20056.829
No,No,1137.17545,27588.933
No,No,414.08405,47811.419
No,Yes,436.00831,17504.448
No,No,987.81480,25809.980
No,No,679.39184,46603.546
No,No,1377.77201,51633.330
No,No,856.81196,32437.132
No,No,1036.67683,44923.803
No,No,0.00000,46826.804
No,No,961.47207,51936.760
No,No,275.98809,35622.829
No,No,426.69354,30769.345
No,No,290.25191,46214.159
No,No,934.96970,42325.750
No,Yes,668.99116,26342.048
No,Yes,2004.72757,27136.538
No,No,1312.86573,29938.259
No,Yes,662.27356,15092.051
No,No,524.63981,36120.892
No,Yes,1212.58957,21058.349
No,No,961.31577,30290.807
Yes,Yes,1504.29018,13965.186
No,Yes,613.65632,25040.488
No,Yes,1233.34360,13402.073
No,No,1221.38596,36961.315
No,No,1217.05681,46256.780
No,No,628.75770,43205.175
No,Yes,819.09732,15957.944
No,Yes,843.49346,12710.026
No,No,1173.55982,29141.366
No,Yes,1195.59028,13329.596
No,No,1202.88312,12288.127
No,No,24.87182,29316.970
No,No,853.24142,29484.052
No,No,398.77571,40223.910
No,Yes,1521.17240,18149.886
No,Yes,1160.22179,15941.051
No,No,985.61406,49948.467
No,No,583.82072,38215.965
No,Yes,638.69198,18148.302
No,No,384.99772,25380.703
No,No,1050.76423,31558.898
Yes,Yes,1871.93839,18077.487
No,No,793.76172,35157.740
No,Yes,591.66065,21790.502
No,No,419.47644,24001.512
No,Yes,514.28389,18185.480
No,No,1027.89504,21551.611
No,Yes,1029.68155,15977.321
No,Yes,953.62632,18363.068
No,Yes,1463.33777,11579.159
No,No,1172.45950,34690.138
No,Yes,548.27286,12048.823
No,No,1752.88379,48250.105
No,Yes,555.92068,23909.706
No,Yes,1560.93175,13621.569
No,Yes,839.88356,16883.339
No,Yes,1112.81798,13634.908
No,No,1309.25377,43278.059
No,No,940.59087,41560.471
No,No,1019.24898,41195.370
No,No,433.66902,32904.698
No,No,1015.11543,42050.467
No,No,75.17766,52765.978
No,No,1050.31638,39585.624
No,No,48.91186,35155.172
No,No,1721.64778,48236.126
No,No,1607.35144,48700.848
No,No,1180.44754,43914.420
No,No,609.87713,40875.947
No,Yes,1054.20021,19440.973
No,Yes,793.82047,19074.032
No,No,879.67562,30021.383
No,No,1237.64742,29151.235
No,Yes,1412.76436,18234.459
No,Yes,1174.71648,13025.769
No,No,363.34480,44325.789
No,No,919.48578,44928.185
No,Yes,1195.05967,21648.657
No,Yes,794.13779,15721.800
No,No,10.18882,33776.825
No,No,0.00000,31083.221
No,Yes,498.50598,16967.620
No,Yes,1227.16111,18459.419
Yes,No,1902.61299,53394.076
No,Yes,1059.20464,11742.380
No,Yes,450.30539,21177.611
No,No,418.53987,55002.733
No,No,1070.48068,32939.367
No,No,1306.77057,56640.634
No,Yes,1315.33730,8431.175
No,No,74.53343,19146.246
No,No,66.15233,38927.125
No,No,56.42071,54217.338
No,No,1056.59688,25123.860
No,No,259.23758,51355.375
No,Yes,1143.69258,23500.901
No,Yes,0.00000,15682.069
No,No,877.79393,30239.721
No,No,919.07756,45315.557
No,No,94.93248,27212.951
No,No,333.37419,29413.149
No,No,197.91072,30971.197
No,No,624.91009,41047.556
No,No,138.25225,54406.502
No,No,787.55177,46185.552
No,No,1030.92756,36271.335
No,No,1049.74764,30159.210
No,No,0.00000,35738.988
No,Yes,1130.05679,18467.102
No,No,795.54122,51303.140
No,Yes,1503.59624,18710.614
No,No,436.13501,46071.661
No,No,800.70559,36314.436
Yes,Yes,1881.04995,16580.451
No,Yes,1445.45803,18632.616
No,No,1166.10024,23994.404
No,No,163.74710,38970.029
No,No,0.00000,46353.802
No,No,1322.05294,47814.174
No,No,1283.52325,61525.696
No,No,1000.89843,43059.049
No,No,249.86032,47602.116
No,No,500.22218,38991.012
No,No,568.09449,36374.434
No,Yes,1047.08515,13714.279
No,Yes,186.66837,15976.638
No,No,782.77833,39224.409
No,No,388.54835,18007.833
No,Yes,842.57223,17279.522
No,No,556.11563,44197.908
No,No,1234.57862,48112.481
No,No,412.89434,42123.217
No,No,683.35739,29269.334
No,No,872.22617,48101.612
No,No,415.76543,24740.754
No,Yes,1518.01881,16740.443
No,No,254.39446,44612.148
No,No,1507.24919,24057.518
No,No,900.56750,40848.692
No,No,595.14513,46011.947
No,Yes,163.93982,21083.005
No,No,389.61325,43472.674
No,Yes,1334.97118,14834.864
No,Yes,1961.72866,17864.099
No,No,1173.16149,36439.679
No,No,1102.41824,23218.084
No,No,1228.90792,46411.820
Yes,No,1505.83147,29525.749
No,Yes,1217.62391,21160.429
No,Yes,843.15909,12042.894
No,No,1004.53290,59403.930
No,No,294.06294,57500.111
No,No,484.72348,24569.567
No,No,775.55614,34586.253
No,Yes,1339.31277,21031.860
No,No,801.85503,39156.627
No,No,551.88710,37573.141
No,Yes,522.38118,23440.064
No,Yes,1237.45472,20660.469
No,No,320.00592,57563.489
No,No,960.67003,30093.728
No,No,272.01952,29773.609
No,No,927.16592,33781.815
No,No,75.79526,55189.686
No,No,1285.85138,37635.954
No,No,1471.77507,32478.044
No,Yes,808.01472,14485.468
No,No,747.35356,42900.025
No,No,327.79573,23865.328
No,Yes,851.34179,18786.580
No,No,110.85437,27370.304
No,No,541.75557,57322.105
No,No,0.00000,36269.293
No,No,1201.36026,51740.890
No,No,57.21984,18982.556
No,Yes,785.09348,32945.828
No,Yes,383.63966,17445.182
No,No,1107.30416,52765.059
No,No,396.98599,55454.631
No,No,0.00000,44807.378
No,No,924.24153,45207.388
No,No,602.49372,33202.534
No,Yes,828.73983,17962.311
No,Yes,1.61118,20837.335
No,Yes,894.00579,18002.325
No,No,1234.47648,31313.375
No,No,406.01398,42642.237
No,Yes,1051.99845,12376.096
No,Yes,1085.83808,18890.228
No,No,1656.17327,41133.127
No,Yes,242.65261,20426.794
No,Yes,602.30650,12927.713
No,No,187.59730,59660.997
No,No,331.29708,34497.743
No,No,911.38780,57131.320
No,No,391.40820,39761.562
No,No,1450.34918,33957.182
No,No,819.91699,28960.113
No,Yes,1590.17641,18666.412
No,Yes,1256.61487,22493.501
Yes,Yes,1889.33211,22652.110
No,No,743.68537,10774.972
No,No,343.19450,29555.905
No,No,534.97315,44079.333
No,No,1207.69791,34857.540
No,No,564.81390,39829.417
No,Yes,495.36526,22938.137
No,No,902.51382,38647.522
No,Yes,1741.27335,18544.052
No,No,1166.64262,52700.110
